school_name,date,ppb,lat,lon
Independence High School,NA,0,37.7632256,-122.4635849
Jefferson Early Education,NA,0,37.762367,-122.483319
John Muir Elementary School,NA,0,37.7737579,-122.4286804
John O'Connell High School,NA,0,37.7595139,-122.413559
KIPP San Francisco Bay Academy,NA,0,37.783472,-122.436904
Lau (Gordon J.) Elementary School,NA,0,37.7943993,-122.4088058
Leadership High School,NA,0,37.721492,-122.444888
Leonard R. Flynn Elementary School,NA,0,37.7477455,-122.4119644
Lick (James) Middle School,NA,0,37.7493629,-122.432785
Lincoln (Abraham) High School,NA,0,37.7465935,-122.4802399
Mahler (Theresa S) Children Center,NA,0,37.755274,-122.428012
McClaren (John) Children Center,NA,0,37.713131,-122.4231873
Mission Ed Center,NA,0,37.7422028,-122.4314346
Mission Preparatory Charter School,NA,0,37.755173,-122.408721
New Tradition Elementary School,NA,0,37.7738838,-122.450264
Paul Revere Middle School,NA,0,37.7376137,-122.4131165
Presidio Early Education,NA,0,37.7975197,-122.4611053
Presidio Middle School,NA,0,37.7808647,-122.489624
Robert L Stevenson Elementary School,NA,0,37.7488441,-122.4927597
"Rodriguez, Zaida T. Early Education",NA,0,37.7498207,-122.4185562
Rosa Parks Elementary School,NA,0,37.7830086,-122.4295044
San Miguel Children Center,NA,0,37.7216454,-122.4447098
"Serra, Junipero (Annex) Early Education School",NA,0,37.740029,-122.424871
SF Public Montessori Elementary School,NA,0,37.79294,-122.433586
Starr King Elementary School,NA,0,37.7532883,-122.3991928
Stockton (Commodore) Children Center,NA,0,37.7950821,-122.4090805
Sunnyside Elementary School,NA,0,37.7302933,-122.4482574
Sunset Elementary School,NA,0,37.7505226,-122.4991531
Sutro Elementary School,NA,0,37.7836037,-122.4714508
Tenderloin Elementary School,NA,0,37.7817955,-122.4197769
Tule Elk Park,NA,0,37.7994194,-122.4345627
Ulloa Elementary School,NA,0,37.7373161,-122.4993973
Visitacion Valley Elementary School,NA,0,37.7125244,-122.4098969
Washington (George) High School,NA,0,37.7779045,-122.4910126
Weill (Raphael) Children Center,NA,0,37.783291,-122.42987
"Wells, Ida B High School",NA,0,37.775013,-122.4338989
Yick Wo Elementary School,NA,0,37.80196,-122.4166107
